Experiment_Start,Experiment_End,Profile_name,Mean_Temp,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Turionifera1,Turionifera2,Turionifera3,,,Duckweed_Notes,,,,,Notes
November 12/2023,November 17/2021,Manual,23,constant,6,,,,10,11,9,,,,,,,,,,,
November 19/2021,November 24/2021,Manual,20,constant,1,,,,9,8,6,,,,,,,,,,,
November 19/2021,November 24/2021,Simplelong15_095_06,15,0.95,2,12,19,17,4,5,6,,,,,,,,,,,
November 19/2021,November 24/2021,Manual,35,constant,3,,,,10,8,8,,,,,,,,,,,
November 19/2021,November 24/2021,Simplelong15_060_6,15,0.6,4,14,13,12,14,13,12,,,,,,,,,,,
November 19/2021,November 24/2021,Simplelong15_000_06,15,0,5,15,12,8,7,5,6,,,,,,,,,,,
November 19/2021,November 24/2021,Manual,25,constant,6,,,,11,11,11,,,,,,,,,,,
November 26/2021,December 1/2021,Manual,20,constant,1,,,,9,8,9,,,,,,,,,,,
November 26/2021,December 1/2021,Manual,20,constant,3,,,,10,9,9,,,,,,,,,,,
November 26/2021,December 1/2021,Manual,25,constant,6,,,,10,13,10,,,,,,,,,,,
December 3/2021,December 8/2021,Manual,20,constant,1,,,,9,9,7,9,10,9,,,,,,,,
December 3/2021,December 8/2021,Simplelong27_000_2,27,0,2,1,1,0,10,11,13,,,,,,,,,,,
December 3/2021,December 8/2021,Manual,25,constant,3,,,,14,12,12,10,11,8,,,,,,,,
December 3/2021,December 8/2021,Simplelong27_000_3,27,0,4,18,12,18,14,10,10,,,,,,,,,,,
December 3/2021,December 8/2021,Simplelong27_000_4,27,0,5,7,15,10,12,10,10,,,,,,,,,,,
December 3/2021,December 8/2021,Manual,35,constant,6,,,,12,10,10,11,11,8,,,,,,,,
December 10/2021,December 15/2021,Simplelong20_2,20,constant,1,,,,7,10,11,,,,,,,,,,,
December 10/2021,December 15/2021,Simplelong23_1,23,constant,2,,,,10,11,12,6,8,6,,,,,,,,
December 10/2021,December 15/2021,Simplelong35_1,35,constant,3,,,,8,11,9,7,7,6,,,,,,,,
December 10/2021,December 15/2021,Simplelong39_1,39,constant,4,,,,4,3,4,1,4,1,,,,,,,,
December 10/2021,December 15/2021,Simplelong27_000_5,27,0,5,6,8,10,11,11,13,,,,,,,,,,,
December 10/2021,December 15/2021,Simplelong27_000_6,27,0,6,1,4,0,11,13,13,,,,,,,,,,,
December 17/2021,December 22/2021,Simplelong20_2,20,constant,1,x,x,x,6,5,7,,,,,,,,,,,
December 17/2021,December 22/2021,Simplelong25_1,25,constant,2,,,,6,8,6,6,4,6,,,,,,,,
December 17/2021,December 22/2021,Simplelong39_1,39,constant,3,,,,5,4,5,4,4,4,,,,,,,,
December 17/2021,December 22/2021,Simplelong27_000_7,27,0,4,20,10,7,12,12,12,,,,,,,,,,,
December 17/2021,December 22/2021,Simplelong27_000_8,27,0,5,8,4,12,8,12,14,,,,,,,,,,,
December 17/2021,December 22/2021,Simplelong27_000_9,27,0,6,20,6,7,11,11,12,,,,,,,,,,,
