"","fname","slp","r2","p","cat","program_mean","obs_mean","program_sd","obs_sd","program_ac","obs_ac"
"55","e65inc4_27_095_8_notpro.xls",0.000910285501401811,0.570069209373936,0,"P",26.955,26.92,2.49536881967746,2.50222086229363,0.953973464130084,0.953257671741792
"56","e65inc5_27_095rev_8_notpro.xls",-0.000910613324841224,0.571219855616944,0,"N",26.9575,26.9216666666667,2.49647356326896,2.50727289439079,0.953350091501656,0.951082829713195
"57","e66inc3_27_095_9_notpro.xls",0.00108265175884174,0.810706332843772,0,"P",26.9541666666667,26.905,2.49607745494094,2.50508222914736,0.958389391460694,0.956278748542068
"58","e66inc4_27_095rev_9_notpro.xls",-0.00108239680573486,0.809185686663464,0,"N",26.9541666666667,26.9125,2.49668337422839,2.50013655089262,0.957898426659221,0.957115399158075
"59","e66inc5_27_095_10_notpro.xls",-0.00106186048252925,0.779348317412651,0,"N",26.945,26.9175,2.49540249527914,2.50329740525565,0.955788429955048,0.951103448611111
"60","e66inc6_27_095rev_10_notpro.xls",0.00106270425816836,0.780893017777792,0,"P",26.9516666666667,26.9091666666667,2.49473338813412,2.49769627750811,0.955467917481112,0.954522161403058
"61","e67inc2_15_095_7.xls",0.000812661039909489,0.466469937027654,0,"P",14.95,14.9091666666667,2.49041861419914,2.49432956362803,0.948754166327941,0.948840678717612
"62","e67inc3_15_095rev_7.xls",-0.000807179370612959,0.459761056460442,0,"N",14.95,14.9175,2.49574427692388,2.49044096868153,0.949242465125064,0.947410292609846
"63","e67inc5_15_095_8.xls",-0.000906721528515423,0.577243228955179,0,"N",14.9483333333333,14.92,2.49119401473422,2.51066966860914,0.95371912536144,0.947601958107589
"64","e67inc6_15_095rev_8.xls",0.000900053691350803,0.574415517964895,0,"P",14.9591666666667,14.9083333333333,2.49370622333332,2.48540557985182,0.954108722154136,0.951985485559245
"65","e68inc2_15_095_9.xls",0.000936136545062808,0.606334524631611,0,"P",14.95,14.9175,2.50377865695536,2.50282739276667,0.956786193029491,0.956656003404731
"66","e68inc3_15_095rev_9.xls",-0.000934392959858028,0.603863549693328,0,"N",14.9508333333333,14.9075,2.49732616115358,2.50971766800755,0.956675216972743,0.956636516638632
"67","e69inc2_15_095_10.xls",0.00102378035146014,0.734347389519658,0,"P",14.9616666666667,14.9216666666667,2.49958596011195,2.49702960790318,0.950357604901598,0.949850689285913
"68","e69inc3_15_095rev_10.xls",-0.00102081377109234,0.732742999948141,0,"N",14.9625,14.9241666666667,2.49301756003078,2.49907531918916,0.949881566249381,0.948856402552372
"69","e69inc5_15_095_11.xls",0.000930934270124685,0.605526738274508,0,"P",14.9566666666667,14.9066666666667,2.48973466688412,2.51575650895013,0.950202247603968,0.953249030153463
"70","e69inc6_15_095rev_11.xls",-0.000933948212653633,0.616214769719883,0,"N",14.945,14.9183333333333,2.50353867203064,2.4895068302182,0.951670997255506,0.951202879410975
"71","e71inc3_15_095_12.xls",-0.000961459207399985,0.649948778004544,0,"N",14.9441666666667,14.9191666666667,2.49472707229992,2.4990854069336,0.954844857356525,0.952539464630952
"72","e71inc4_15_095rev_12.xls",0.000956692628662581,0.641199543171685,0,"P",14.955,14.9133333333333,2.4936844597651,2.49644901872264,0.954423430094987,0.954575124034645
"73","e72inc2_15_095rev_13.xls",0.00109174089848466,0.808847434067505,0,"P",14.9352941176471,14.8865546218487,2.50496416413672,2.51389104741283,0.957166392862147,0.95450542297367
"74","e72inc5_15_095_14.xls",-0.00098115452330807,0.656796378256919,0,"N",14.9563025210084,14.9319327731092,2.50384919455254,2.51301469213769,0.949946506093959,0.952384008769892
"75","e72inc6_15_095_13.xls",-0.00106109251761269,0.794852931070361,0,"N",14.9516666666667,14.9091666666667,2.49803227883597,2.49058718173123,0.957541925542744,0.958623011981332
"76","e72inc6_15_095rev_14.xls",0.000987805654705511,0.66754085057538,0,"P",14.9588235294118,14.9100840336134,2.50965632614784,2.50965575862046,0.951410275045279,0.949039762211368
"77","e73inc3_15_095_15.xls",0.000905672083370008,0.566159761667668,0,"P",14.9558333333333,14.9116666666667,2.49334562565313,2.49578412034177,0.949684275727244,0.945765963449116
